feature_type,regressor,alpha,trial,method,coverage,width
Univariate,Ridge,0.25,3,Original_GitHub,0.7437214611872146,81.08388608795923
Univariate,Ridge,0.25,3,MAPIE_Online,0.7388698630136986,78.84274272935305
Univariate,Ridge,0.25,3,MAPIE_Batch,0.5176940639269406,42.085635700950725
Univariate,Ridge,0.25,4,Original_GitHub,0.742579908675799,81.63172441911874
Univariate,Ridge,0.25,4,MAPIE_Online,0.7388698630136986,78.84274272935305
Univariate,Ridge,0.25,4,MAPIE_Batch,0.5176940639269406,42.085635700950725
Univariate,Ridge,0.25,5,Original_GitHub,0.7440068493150684,80.77780669690135
Univariate,Ridge,0.25,5,MAPIE_Online,0.7388698630136986,78.84274272935305
Univariate,Ridge,0.25,5,MAPIE_Batch,0.5176940639269406,42.085635700950725
Univariate,Ridge,0.25,6,Original_GitHub,0.7432933789954338,82.42387233473737
Univariate,Ridge,0.25,6,MAPIE_Online,0.7388698630136986,78.84274272935305
Univariate,Ridge,0.25,6,MAPIE_Batch,0.5176940639269406,42.085635700950725
Univariate,Ridge,0.25,7,Original_GitHub,0.7431506849315068,81.27053133999945
Univariate,Ridge,0.25,7,MAPIE_Online,0.7388698630136986,78.84274272935305
Univariate,Ridge,0.25,7,MAPIE_Batch,0.5176940639269406,42.085635700950725
Univariate,Ridge,0.25,8,Original_GitHub,0.7442922374429224,81.38718314628689
Univariate,Ridge,0.25,8,MAPIE_Online,0.7388698630136986,78.84274272935305
Univariate,Ridge,0.25,8,MAPIE_Batch,0.5176940639269406,42.085635700950725
Univariate,Ridge,0.25,9,Original_GitHub,0.7442922374429224,80.16582862007934
Univariate,Ridge,0.25,9,MAPIE_Online,0.7388698630136986,78.84274272935305
Univariate,Ridge,0.25,9,MAPIE_Batch,0.5176940639269406,42.085635700950725
Univariate,RF,0.05,0,Original_GitHub,0.9511986301369864,374.30124458197525
Univariate,RF,0.05,0,Reimplementation,0.9511986301369864,374.30124458197525
Univariate,RF,0.05,0,MAPIE_Online,0.9466324200913242,310.4697400340772
Univariate,RF,0.05,0,MAPIE_Batch,0.8789954337899544,191.06236572970937
Univariate,RF,0.05,1,Original_GitHub,0.9501997716894978,365.05837738602986
Univariate,RF,0.05,1,MAPIE_Online,0.9466324200913242,310.4697400340772
Univariate,RF,0.05,1,MAPIE_Batch,0.8789954337899544,191.06236572970937
Univariate,RF,0.05,2,Original_GitHub,0.9509132420091324,373.491009371026
Univariate,RF,0.05,2,MAPIE_Online,0.9466324200913242,310.4697400340772
Univariate,RF,0.05,2,MAPIE_Batch,0.8789954337899544,191.06236572970937
Univariate,RF,0.05,3,Original_GitHub,0.951769406392694,378.24026896206215
Univariate,RF,0.05,3,MAPIE_Online,0.9466324200913242,310.4697400340772
Univariate,RF,0.05,3,MAPIE_Batch,0.8789954337899544,191.06236572970937
Univariate,RF,0.05,4,Original_GitHub,0.9514840182648402,380.4889736689987
Univariate,RF,0.05,4,MAPIE_Online,0.9466324200913242,310.4697400340772
Univariate,RF,0.05,4,MAPIE_Batch,0.8789954337899544,191.06236572970937
Univariate,RF,0.05,5,Original_GitHub,0.9501997716894978,363.37323457827137
Univariate,RF,0.05,5,MAPIE_Online,0.9466324200913242,310.4697400340772
Univariate,RF,0.05,5,MAPIE_Batch,0.8789954337899544,191.06236572970937
Univariate,RF,0.05,6,Original_GitHub,0.9516267123287672,379.76705344843293
Univariate,RF,0.05,6,MAPIE_Online,0.9466324200913242,310.4697400340772
Univariate,RF,0.05,6,MAPIE_Batch,0.8789954337899544,191.06236572970937
Univariate,RF,0.05,7,Original_GitHub,0.951769406392694,370.5480170735489
Univariate,RF,0.05,7,MAPIE_Online,0.9466324200913242,310.4697400340772
Univariate,RF,0.05,7,MAPIE_Batch,0.8789954337899544,191.06236572970937
Univariate,RF,0.05,8,Original_GitHub,0.9510559360730594,379.0787262323319
Univariate,RF,0.05,8,MAPIE_Online,0.9466324200913242,310.4697400340772
Univariate,RF,0.05,8,MAPIE_Batch,0.8789954337899544,191.06236572970937
Univariate,RF,0.05,9,Original_GitHub,0.9509132420091324,374.6446617806882
Univariate,RF,0.05,9,MAPIE_Online,0.9466324200913242,310.4697400340772
Univariate,RF,0.05,9,MAPIE_Batch,0.8789954337899544,191.06236572970937
Univariate,RF,0.1,0,Original_GitHub,0.9026826484018264,256.9837371507592
Univariate,RF,0.1,0,Reimplementation,0.9026826484018264,256.9837371507592
Univariate,RF,0.1,0,MAPIE_Online,0.9021118721461188,254.96254592917288
Univariate,RF,0.1,0,MAPIE_Batch,0.7949486301369864,120.41068426104381
Univariate,RF,0.1,1,Original_GitHub,0.9016837899543378,253.55827851900835
Univariate,RF,0.1,1,MAPIE_Online,0.9021118721461188,254.96254592917288
Univariate,RF,0.1,1,MAPIE_Batch,0.7949486301369864,120.41068426104381
Univariate,RF,0.1,2,Original_GitHub,0.9016837899543378,256.3157696598947
Univariate,RF,0.1,2,MAPIE_Online,0.9021118721461188,254.96254592917288
Univariate,RF,0.1,2,MAPIE_Batch,0.7949486301369864,120.41068426104381
Univariate,RF,0.1,3,Original_GitHub,0.9033961187214612,257.9197531089499
Univariate,RF,0.1,3,MAPIE_Online,0.9021118721461188,254.96254592917288
Univariate,RF,0.1,3,MAPIE_Batch,0.7949486301369864,120.41068426104381
Univariate,RF,0.1,4,Original_GitHub,0.9018264840182648,260.0469479574883
Univariate,RF,0.1,4,MAPIE_Online,0.9021118721461188,254.96254592917288
Univariate,RF,0.1,4,MAPIE_Batch,0.7949486301369864,120.41068426104381
